lineName,direction,component,vehicle_count,start_time,end_time,duration,result_type
M3353,1.0,"BS30452D,BS42653D",2,2019-01-04 16:40:12,2019-01-04 16:51:15,663.0,TP
M3353,1.0,"BS30321D,BS47943D",2,2019-01-04 18:36:29,2019-01-04 18:39:29,180.0,FN
M3353,1.0,"BS03377D,BS45211D",2,2019-01-04 18:56:28,2019-01-04 18:59:52,204.0,TP
M3353,1.0,"BS03377D,BS45211D",2,2019-01-04 19:08:29,2019-01-04 19:11:53,204.0,TP
M3353,1.0,"BS09390D,BS30452D",2,2019-01-04 19:32:17,2019-01-04 19:35:45,208.0,TP
M3353,2.0,"BS09590D,BS42672D",2,2019-01-04 08:56:17,2019-01-04 09:07:36,679.0,FP
M3353,2.0,"BS09590D,BS42672D",2,2019-01-04 09:24:36,2019-01-04 09:31:42,426.0,TP
M3353,2.0,"BS03377D,BS45211D",2,2019-01-04 12:04:14,2019-01-04 12:07:45,211.0,FP
M3353,2.0,"BS03377D,BS45211D",2,2019-01-04 12:24:01,2019-01-04 12:27:44,223.0,TP
M3353,2.0,"BS08968D,BS09691D",2,2019-01-04 12:40:31,2019-01-04 12:43:50,199.0,TP
M3353,2.0,"BS09053D,BS09218D",2,2019-01-04 13:00:19,2019-01-04 13:07:35,436.0,TP
M3353,2.0,"BS09075D,BS09298D",2,2019-01-04 13:04:14,2019-01-04 13:07:45,211.0,FP
M3353,2.0,"BS09390D,BS36258D",2,2019-01-04 13:20:16,2019-01-04 13:27:41,445.0,TP
M3353,2.0,"BS09075D,BS09298D",2,2019-01-04 13:44:17,2019-01-04 13:51:44,447.0,TP
M3353,2.0,"BS09390D,BS36258D",2,2019-01-04 13:44:26,2019-01-04 13:47:41,195.0,TP
M3353,2.0,"BS09590D,BS42672D",2,2019-01-04 14:32:18,2019-01-04 14:39:39,441.0,TP
M3353,2.0,"BS30321D,BS34147D",2,2019-01-04 15:28:14,2019-01-04 15:31:55,221.0,TP
M3353,2.0,"BS09390D,BS36206D",2,2019-01-04 17:45:00,2019-01-04 17:48:00,180.0,FN
M3353,2.0,"BS36242D,BS36258D",2,2019-01-04 17:55:30,2019-01-04 17:58:30,180.0,FN
M3353,2.0,"BS09390D,BS36263D",2,2019-01-04 18:12:00,2019-01-04 18:15:00,180.0,FN
M3353,2.0,"BS09691D,BS42653D",2,2019-01-04 18:39:00,2019-01-04 18:42:00,180.0,FN
M5583,1.0,"BS47418D,BS48832D",2,2019-01-04 08:28:31,2019-01-04 08:31:44,193.0,TP
