lineName,direction,component,vehicle_count,start_time,end_time,duration,label
M2503,2.0,"BS38816D,BS38888D",2,2019-01-04 20:20:25,2019-01-04 20:21:50,85.0,0
M2503,2.0,"BS38816D,BS38888D",2,2019-01-04 20:37:41,2019-01-04 20:38:31,50.0,0
M2503,2.0,"BS38816D,BS38888D",2,2019-01-04 21:08:06,2019-01-04 21:19:50,704.0,1
M2503,2.0,"BS38816D,BS38888D",2,2019-01-04 21:17:20,2019-01-04 21:18:13,53.0,0
M3353,1.0,"BS09945D,BS30321D",2,2019-01-04 07:40:30,2019-01-04 07:43:30,180.0,1
M3353,1.0,"BS30321D,BS31509D",2,2019-01-04 09:04:31,2019-01-04 09:11:46,435.0,1
M3353,1.0,"BS39179D,BS47985D",2,2019-01-04 09:08:12,2019-01-04 09:11:45,213.0,1
M3353,1.0,"BS30452D,BS34147D,BS49143D",3,2019-01-04 09:20:33,2019-01-04 09:23:48,195.0,1
M3353,1.0,"BS03377D,BS34603D,BS45211D",3,2019-01-04 09:24:33,2019-01-04 09:27:56,203.0,1
M3353,1.0,"BS30321D,BS31509D",2,2019-01-04 09:28:03,2019-01-04 09:31:43,220.0,1
M3353,1.0,"BS09053D,BS09075D",2,2019-01-04 09:32:33,2019-01-04 09:43:43,670.0,1
M3353,1.0,"BS30452D,BS34147D",2,2019-01-04 09:51:03,2019-01-04 09:51:25,22.0,0
M3353,1.0,"BS03377D,BS34603D",2,2019-01-04 09:52:41,2019-01-04 09:55:49,188.0,1
M3353,1.0,"BS30452D,BS49143D",2,2019-01-04 09:58:19,2019-01-04 10:02:51,272.0,0
M3353,1.0,"BS08761D,BS08968D,BS34643D",3,2019-01-04 10:04:14,2019-01-04 10:11:53,459.0,1
M3353,1.0,"BS30452D,BS49143D",2,2019-01-04 10:06:53,2019-01-04 10:07:36,43.0,0
M3353,1.0,"BS30452D,BS34147D,BS49143D",3,2019-01-04 10:08:55,2019-01-04 10:09:21,26.0,0
M3353,1.0,"BS09218D,BS09298D",2,2019-01-04 10:12:12,2019-01-04 10:35:50,1418.0,1
M3353,1.0,"BS03377D,BS45211D",2,2019-01-04 10:14:57,2019-01-04 10:17:41,164.0,0
M3353,1.0,"BS09218D,BS09298D",2,2019-01-04 10:24:55,2019-01-04 10:25:32,37.0,0
M3353,1.0,"BS08761D,BS08968D,BS34643D",3,2019-01-04 10:25:44,2019-01-04 10:26:13,29.0,0
M3353,1.0,"BS30452D,BS34147D,BS49143D",3,2019-01-04 10:26:33,2019-01-04 10:27:06,33.0,0
M3353,1.0,"BS30452D,BS34147D,BS49143D",3,2019-01-04 10:28:33,2019-01-04 10:31:48,195.0,1
M3353,1.0,"BS09053D,BS09075D,BS09218D,BS09298D",4,2019-01-04 10:40:37,2019-01-04 10:43:42,185.0,1
M3353,1.0,"BS08761D,BS08968D,BS09075D",3,2019-01-04 10:44:17,2019-01-04 10:51:50,453.0,1
M3353,1.0,"BS09691D,BS36242D",2,2019-01-04 10:47:03,2019-01-04 10:47:38,35.0,0
M3353,1.0,"BS09053D,BS09218D",2,2019-01-04 10:48:11,2019-01-04 10:48:36,25.0,0
M3353,1.0,"BS30452D,BS34147D",2,2019-01-04 10:48:18,2019-01-04 10:51:33,195.0,1
M3353,1.0,"BS08761D,BS08968D,BS09298D",3,2019-01-04 10:53:28,2019-01-04 10:55:08,100.0,0
M3353,1.0,"BS30452D,BS34147D,BS49143D",3,2019-01-04 10:56:06,2019-01-04 11:03:50,464.0,1
M3353,1.0,"BS30452D,BS34147D,BS49143D",3,2019-01-04 10:57:09,2019-01-04 10:57:37,28.0,0
M3353,1.0,"BS08761D,BS09075D,BS09298D",3,2019-01-04 11:00:02,2019-01-04 11:03:49,227.0,0
M3353,1.0,"BS30452D,BS34147D,BS49143D",3,2019-01-04 11:01:48,2019-01-04 11:02:13,25.0,0
M3353,1.0,"BS09053D,BS36206D",2,2019-01-04 11:06:01,2019-01-04 11:06:27,26.0,0
M3353,1.0,"BS09053D,BS09218D",2,2019-01-04 11:13:36,2019-01-04 11:14:25,49.0,0
M3353,1.0,"BS08968D,BS09075D,BS09298D",3,2019-01-04 11:14:06,2019-01-04 11:14:23,17.0,0
M3353,1.0,"BS08761D,BS34643D",2,2019-01-04 11:16:05,2019-01-04 11:19:54,229.0,1
M3353,1.0,"BS08968D,BS09053D,BS09075D,BS09218D,BS09298D",5,2019-01-04 11:16:21,2019-01-04 11:19:56,215.0,1
M3353,1.0,"BS08968D,BS09053D,BS09075D",3,2019-01-04 11:20:10,2019-01-04 11:23:47,217.0,1
M3353,1.0,"BS09053D,BS09075D,BS09218D,BS09298D",4,2019-01-04 11:21:08,2019-01-04 11:21:34,26.0,0
M3353,1.0,"BS09590D,BS42653D",2,2019-01-04 11:36:06,2019-01-04 11:43:55,469.0,1
M3353,1.0,"BS09053D,BS09298D,BS36206D",3,2019-01-04 14:01:30,2019-01-04 14:04:30,180.0,1
M3353,1.0,"BS34147D,BS49143D",2,2019-01-04 14:32:19,2019-01-04 14:35:48,209.0,0
M3353,1.0,"BS08968D,BS34643D",2,2019-01-04 14:38:39,2019-01-04 14:38:58,19.0,0
M3353,1.0,"BS34147D,BS49143D",2,2019-01-04 14:45:18,2019-01-04 14:46:03,45.0,0
M3353,1.0,"BS03377D,BS45211D",2,2019-01-04 14:52:29,2019-01-04 14:55:54,205.0,0
M3353,1.0,"BS09390D,BS09590D",2,2019-01-04 14:54:00,2019-01-04 14:57:00,180.0,1
M3353,1.0,"BS03377D,BS45211D",2,2019-01-04 14:58:11,2019-01-04 14:59:28,77.0,0
M3353,1.0,"BS03377D,BS45211D",2,2019-01-04 15:04:46,2019-01-04 15:11:49,423.0,0
M3353,1.0,"BS08968D,BS34643D",2,2019-01-04 15:20:09,2019-01-04 15:35:24,915.0,1
M3353,1.0,"BS08968D,BS34643D",2,2019-01-04 15:34:09,2019-01-04 15:34:30,21.0,0
M3353,1.0,"BS09075D,BS09218D",2,2019-01-04 15:36:11,2019-01-04 15:43:47,456.0,1
M3353,1.0,"BS09945D,BS36242D",2,2019-01-04 15:52:37,2019-01-04 15:59:41,424.0,1
M3353,1.0,"BS09945D,BS36242D",2,2019-01-04 15:53:06,2019-01-04 15:54:04,58.0,0
M3353,1.0,"BS09945D,BS36242D,BS36258D",3,2019-01-04 16:04:11,2019-01-04 16:07:24,193.0,1
M3353,1.0,"BS09691D,BS36263D",2,2019-01-04 16:08:05,2019-01-04 16:11:49,224.0,1
M3353,1.0,"BS09590D,BS30452D",2,2019-01-04 16:31:04,2019-01-04 16:31:33,29.0,0
M3353,1.0,"BS30452D,BS42653D",2,2019-01-04 16:40:06,2019-01-04 16:51:21,675.0,1
M3353,1.0,"BS03377D,BS45211D",2,2019-01-04 18:29:14,2019-01-04 18:31:18,124.0,0
M3353,1.0,"BS03377D,BS45211D",2,2019-01-04 18:36:10,2019-01-04 18:51:50,940.0,1
M3353,1.0,"BS30321D,BS47943D",2,2019-01-04 18:36:29,2019-01-04 18:39:29,180.0,1
M3353,1.0,"BS03377D,BS45211D",2,2019-01-04 19:08:10,2019-01-04 19:11:56,226.0,1
M3353,1.0,"BS09390D,BS30452D",2,2019-01-04 19:32:04,2019-01-04 19:35:48,224.0,1
