idx,opath,lineName,direction,t_flag,time,lng,lat,distance_of_gpspoint,gps_normalized_distance_length
BS01841D,28830.0,M2333,1.0,1,2019-01-04 07:49:46,113.941098217,22.6835630973,8.526207221687011,0.2036674278274737
BS01899D,67562.0,M2333,1.0,1,2019-01-04 07:49:47,114.025609011,22.6544883637,19.472834297559046,0.4651519686041299
BS06103D,28830.0,M2333,1.0,1,2019-01-04 07:49:53,113.940895847,22.6835364278,8.505199573065324,0.2031656134042211
BS01899D,67562.0,M2333,1.0,1,2019-01-04 07:49:54,114.02595906,22.6540668366,19.531770250324797,0.4665597849513364
BS00077D,67562.0,M2333,1.0,1,2019-01-04 07:49:56,114.025295758,22.6548655805,19.42009361999517,0.4638921401878101
BS01841D,28773.0,M2333,1.0,1,2019-01-04 07:49:56,113.941459285,22.683592377,8.563478423820802,0.204557733408051
BS01899D,67562.0,M2333,1.0,1,2019-01-04 07:49:57,114.02614659,22.653841015,19.56334365216596,0.4673139858959717
BS06103D,28830.0,M2333,1.0,1,2019-01-04 07:50:03,113.941255657,22.6835813403,8.542511393411948,0.2040568892411758
BS00077D,67562.0,M2333,1.0,1,2019-01-04 07:50:06,114.025344741,22.654806595,19.428340662549395,0.4640891391464947
BS01841D,28773.0,M2333,1.0,1,2019-01-04 07:50:06,113.941880285,22.6836114713,8.606791996889866,0.2055923744609398
BS01899D,67562.0,M2333,1.0,1,2019-01-04 07:50:07,114.026790972,22.6530650543,19.671835123035216,0.4699055460397315
BS06103D,28773.0,M2333,1.0,1,2019-01-04 07:50:13,113.941589323,22.6835982748,8.57685707138776,0.2048773121687973
BS00077D,67562.0,M2333,1.0,1,2019-01-04 07:50:16,114.025518877,22.6545969014,19.45765901212641,0.4647894731509637
BS01841D,28773.0,M2333,1.0,1,2019-01-04 07:50:16,113.942211906,22.6836265118,8.640910021903565,0.2064073593910994
BS01899D,67562.0,M2333,1.0,1,2019-01-04 07:50:17,114.027286195,22.6524687105,19.755213515646247,0.4718972244399801
BS06103D,28773.0,M2333,1.0,1,2019-01-04 07:50:23,113.941772743,22.6836065937,8.595727796891103,0.2053280814293342
BS00077D,67562.0,M2333,1.0,1,2019-01-04 07:50:36,114.025824932,22.6542283523,19.509187844465902,0.4660203539480953
BS00077D,67562.0,M2333,1.0,1,2019-01-04 07:50:38,114.025938502,22.654091593,19.528308953774594,0.4664771041828542
BS00077D,67562.0,M2333,1.0,1,2019-01-04 07:50:46,114.026485855,22.6534324746,19.620463995759906,0.468678432378906
BS00077D,67562.0,M2333,1.0,1,2019-01-04 07:50:56,114.026934303,22.652892456,19.695967100071066,0.4704819919978805
